co2emission pavillonsNetwork.node[0].veinsmobility (#0 - Default-0-20230508-00:03:16-2256),
3,2.95727759870460004
4,5.447537852334798795
5,6.1741223065017987
6,0.972999999999999861
7,0.972999999999999861
8,0.972999999999999861
9,0.972999999999999861
10,0.972999999999999861
11,0.972999999999999861
12,0.972999999999999861
13,0.972999999999999861
14,0.972999999999999861
15,0.972999999999999861
16,0.972999999999999861
17,0.972999999999999861
18,0.972999999999999861
19,0.972999999999999861
20,0.972999999999999861
21,0.972999999999999861
22,0.972999999999999861
23,0.972999999999999861
24,0.972999999999999861
25,0.972999999999999861
26,0.972999999999999861
27,0.972999999999999861
28,0.972999999999999861
29,0.972999999999999861
30,0.972999999999999861
31,0.972999999999999861
32,0.972999999999999861
33,0.972999999999999861
34,0.972999999999999861
35,0.972999999999999861
36,2.164645586813599633
37,3.59810049452019952
38,4.409378253266099867
39,4.484034492467399592
40,5.2634615736072998
41,6.19521693679850035
42,0.972999999999999861
43,0.972999999999999861
44,0.972999999999999861
45,1.33834905984610008
46,4.541828136847099607
47,5.172457554467898765
48,5.368171402610899515
49,5.949142576669999
50,5.749458426689500335
51,8.90704260640499963
52,11.01776927993299888
53,10.46992298532099848
54,10.48960632377199782
55,16.72209002180100152
56,4.873135240423898985
57,14.92273639954899871
