co2emission pavillonsNetwork.node[0].veinsmobility (#0 - Default-0-20230507-22:17:11-149797),
3,2.95727759870460004
4,5.447537852334798795
5,6.1741223065017987
6,0.972999999999999861
7,0.972999999999999861
8,0.972999999999999861
9,0.972999999999999861
10,0.972999999999999861
11,0.972999999999999861
12,0.972999999999999861
13,0.972999999999999861
14,0.972999999999999861
15,0.972999999999999861
16,0.972999999999999861
17,0.972999999999999861
18,0.972999999999999861
19,0.972999999999999861
20,0.972999999999999861
21,0.972999999999999861
22,0.972999999999999861
23,0.972999999999999861
24,0.972999999999999861
25,0.972999999999999861
26,2.112599434022599522
27,2.796936247700699585
28,3.86557568472009992
29,5.253274511056799735
30,7.083866658854798675
31,7.941546310932899605
32,0.972999999999999861
33,0.972999999999999861
34,0.972999999999999861
35,0.972999999999999861
36,3.059441114468500077
37,5.24186290762099991
38,5.802747653124900015
39,5.92309728508229934
40,6.497726895104898735
41,6.231224396720499185
42,9.59967617379169976
43,11.79147428046099926
44,10.15546125129399963
45,16.23683634102799538
46,17.09483087782199812
47,2.307951006179699495
